referencia,nombre,categoria,precio,stock,costo
"003COAIR22,BRAZO AC.INOX.REFORZADO AUSTENITICO COTS 22"",BRAZOS ACERO INOXIDABLE,23953,6,0"
"003COAIR26,BRAZO AC.INOX.REFORZADO AUSTENITICO COTS 26"",BRAZOS ACERO INOXIDABLE,46329,6,0"
003COTA108,BRAZO FERRITICO AC INOX COTS 203 MM,BRAZOS ACERO INOXIDABLE,5252,6,0
003COTAI10,BRAZO FERRITICO AC INOX COTS 254 MM,BRAZOS ACERO INOXIDABLE,5822,6,0
003COTAI12,BRAZO FERRITICO AC INOX COTS 305 MM,BRAZOS ACERO INOXIDABLE,6174,6,0
003COTAI16,BRAZO FERRITICO AC.INOX COTS 406 MM,BRAZOS ACERO INOXIDABLE,7803,6,0
003COTAI20,BRAZO FERRITICO AC INOX COTS 508 MM,BRAZOS ACERO INOXIDABLE,8967,6,0
003COTAI24,BRAZO FERRITICO AC INOX COTS 610 MM,BRAZOS ACERO INOXIDABLE,11646,6,0
003COTAU08,BRAZO AUSTENITICO AC INOX COTS 203 MM,BRAZOS ACERO INOXIDABLE,8497,6,0
003COTAU10,BRAZO AUSTENITICO AC INOX COTS 254 MM,BRAZOS ACERO INOXIDABLE,9622,6,0
003COTAU12,BRAZO AUSTENITICO AC INOX COTS 305 MM,BRAZOS ACERO INOXIDABLE,11034,6,0
003COTAU16,BRAZO AUSTENITICO AC INOX COTS 406 MM,BRAZOS ACERO INOXIDABLE,14320,6,0
003COTAU20,BRAZO AUSTENITICO AC.INOX COTS 508MM,BRAZOS ACERO INOXIDABLE,16273,6,0
003COTAU24,BRAZO AUSTENITICO AC INOX COTS 610 MM,BRAZOS ACERO INOXIDABLE,18547,6,0
003COTSH12,BRAZO AC.INOX COTS. SIDE HUNG 305MM,BRAZOS ACERO INOXIDABLE,6648,6,0
003COTSH16,BRAZO AC.INOX COTS. SIDE HUNG 406MM,BRAZOS ACERO INOXIDABLE,12164,6,0
003COTEC12,BRAZO FERRITICO EASI-CLEAN COTS 305 MM,BRAZOS ACERO INOXIDABLE,15568,6,0
003COTEC16,BRAZO FERRITICO EASI-CLEAN COTS 406 MM,BRAZOS ACERO INOXIDABLE,18101,6,0
004G120180,CARRO AGUJAS G-120/180-A,CARROS,5209,6,0
004GT1004,CARRO TANDEM.AGUJAS GT-1004/4-T-E-A,CARROS,7543,6,0
004GT2040A,CARRO SIM.RE.AG.GT-20/40-A,CARROS,7379,6,0
